id,file_name,frame_num,seq_id,width,height,corrupt,location,seq_num_frames,datetime,full_path,annotation_id,category_id,season,subject_id,count,standing,resting,moving,interacting,young_present,species_name
S4/T12/T12_R2/S4_T12_R2_IMAG1234,S4/T12/T12_R2/S4_T12_R2_IMAG1234.JPG,1,SER_S4#T12#2#472,2048,1536,False,T12,3,2012-04-19 08:45:38,../data/serengeti/images/S4_T12_R2_IMAG1234.JPG,1e8b2c9a-91f8-11e9-b873-000d3a198845,5,S4,ASG000do06,3,0.25,0.0,0.08,0.0,0.0,zebra
S6/B07/B07_R2/S6_B07_R2_IMAG0070,S6/B07/B07_R2/S6_B07_R2_IMAG0070.JPG,1,SER_S6#B07#2#27,2048,1536,False,B07,3,2013-03-03 09:29:52,../data/serengeti/images/S6_B07_R2_IMAG0070.JPG,24cbab3d-91f8-11e9-ae47-000d3a198845,5,S6,ASG000y31s,1,0.94,0.0,0.06,0.0,0.0,zebra
S4/C13/C13_R1/S4_C13_R1_IMAG1852,S4/C13/C13_R1/S4_C13_R1_IMAG1852.JPG,3,SER_S4#C13#1#628,2048,1536,False,C13,3,2012-02-09 11:39:53,../data/serengeti/images/S4_C13_R1_IMAG1852.JPG,1b697a25-91f8-11e9-93cc-000d3a198845,5,S4,ASG000ck0k,7,0.54,0.0,0.69,0.0,0.0,zebra
S2/C04/C04_R3/S2_C04_R3_IMAG1412,S2/C04/C04_R3/S2_C04_R3_IMAG1412.JPG,2,SER_S2#C04#3#505,2048,1536,False,C04,3,2011-05-17 07:42:31,../data/serengeti/images/S2_C04_R3_IMAG1412.JPG,13fd7426-91f8-11e9-85a4-000d3a198845,5,S2,ASG0003n1a,2,0.15,0.0,0.15,0.0,0.0,zebra
S2/G01/G01_R1/S2_G01_R1_PICT0873,S2/G01/G01_R1/S2_G01_R1_PICT0873.JPG,2,SER_S2#G01#1#292,2048,1536,False,G01,3,2011-03-12 18:15:27,../data/serengeti/images/S2_G01_R1_PICT0873.JPG,152f6490-91f8-11e9-842b-000d3a198845,5,S2,ASG000516i,1,0.15,0.0,0.23,0.0,0.0,zebra
S3/G07/G07_R12/S3_G07_R12_IMAG0074,S3/G07/G07_R12/S3_G07_R12_IMAG0074.JPG,3,SER_S3#G07#12#27,2048,1536,False,G07,3,2011-11-13 15:32:56,../data/serengeti/images/S3_G07_R12_IMAG0074.JPG,18d08067-91f8-11e9-80cd-000d3a198845,5,S3,ASG0009kum,4,0.5,0.0,0.79,0.0,0.0,zebra
S5/B12/B12_R3/S5_B12_R3_IMAG1772,S5/B12/B12_R3/S5_B12_R3_IMAG1772.JPG,1,SER_S5#B12#3#622,2048,1536,False,B12,3,2012-10-25 09:32:37,../data/serengeti/images/S5_B12_R3_IMAG1772.JPG,1f0e6677-91f8-11e9-a1ff-000d3a198845,5,S5,ASG000mu53,5,0.2,0.0,0.1,0.0,0.0,zebra
S4/E13/E13_R3/S4_E13_R3_IMAG0034,S4/E13/E13_R3/S4_E13_R3_IMAG0034.JPG,2,SER_S4#E13#3#13,2048,1536,False,E13,3,2012-03-21 15:01:45,../data/serengeti/images/S4_E13_R3_IMAG0034.JPG,1bfdcb79-91f8-11e9-9a8c-000d3a198845,5,S4,ASG000er0c,3,0.11,0.0,1.0,0.0,0.04,zebra
S4/Q11/Q11_R2/S4_Q11_R2_IMAG2039,S4/Q11/Q11_R2/S4_Q11_R2_IMAG2039.JPG,3,SER_S4#Q11#2#771,2048,1536,False,Q11,3,2012-04-15 15:41:38,../data/serengeti/images/S4_Q11_R2_IMAG2039.JPG,1e21e3af-91f8-11e9-942a-000d3a198845,5,S4,ASG000bd5q,2,0.03,0.0,0.97,0.0,0.0,zebra
S5/E04/E04_R1/S5_E04_R1_IMAG2932,S5/E04/E04_R1/S5_E04_R1_IMAG2932.JPG,3,SER_S5#E04#1#1071,2048,1536,False,E04,3,2012-07-10 15:00:22,../data/serengeti/images/S5_E04_R1_IMAG2932.JPG,202358ad-91f8-11e9-93eb-000d3a198845,5,S5,ASG000oipz,1,0.0,0.0,1.0,0.0,0.0,zebra
S1/C06/C06_R4/S1_C06_R4_PICT0372,S1/C06/C06_R4/S1_C06_R4_PICT0372.JPG,2,SER_S1#C06#4#125,2048,1536,False,C06,3,2010-10-28 05:45:28,../data/serengeti/images/S1_C06_R4_PICT0372.JPG,11217d39-91f8-11e9-9cb9-000d3a198845,5,S1,ASG0002fmu,3,0.19,0.06,1.0,0.0,0.0,zebra
S5/B09/B09_R3/S5_B09_R3_IMAG1418,S5/B09/B09_R3/S5_B09_R3_IMAG1418.JPG,1,SER_S5#B09#3#508,2560,1920,False,B09,3,2012-12-07 14:16:12,../data/serengeti/images/S5_B09_R3_IMAG1418.JPG,1ef64b02-91f8-11e9-8867-000d3a198845,5,S5,ASG000n8jc,8,0.3,0.0,0.2,0.0,0.0,zebra
S2/D04/D04_R1/S2_D04_R1_PICT3869,S2/D04/D04_R1/S2_D04_R1_PICT3869.JPG,1,SER_S2#D04#1#1291,2048,1536,False,D04,3,2011-03-13 12:03:24,../data/serengeti/images/S2_D04_R1_PICT3869.JPG,1451fce5-91f8-11e9-8450-000d3a198845,5,S2,ASG0004434,1,0.1,0.0,1.0,0.0,0.0,zebra
