Dataset,Image Type,Approach,Accuracy,Avg Confidence,Total Samples,Correct
CALTECH,Cropped,Baseline,68.30000000000001,86.86666666666665,1000,683
CALTECH,Cropped,Blip,12.9,100.0,1000,129
CALTECH,Cropped,Clip,72.7,100.0,1000,727
CALTECH,Cropped,WildMatch-VLM-Fusion,73.4,59.887118385180806,1000,734
CALTECH,Full,Baseline,58.099999999999994,84.0,1000,581
CALTECH,Full,Blip,11.3,100.0,1000,113
CALTECH,Full,Clip,54.7,100.0,1000,547
CALTECH,Full,WildMatch-VLM-Fusion,57.99999999999999,95.39999999999999,1000,580
SERENGETI,Cropped,Baseline,67.0,88.77777777777779,1200,804
SERENGETI,Cropped,Blip,5.416666666666667,100.0,1200,65
SERENGETI,Cropped,Clip,65.66666666666666,100.0,1200,788
SERENGETI,Cropped,WildMatch-VLM-Fusion,68.75,59.18468225027922,1200,825
SERENGETI,Full,Baseline,66.41666666666667,86.5,1200,797
SERENGETI,Full,Blip,3.75,100.0,1200,45
SERENGETI,Full,Clip,62.583333333333336,100.0,1200,751
SERENGETI,Full,WildMatch-VLM-Fusion,66.41666666666667,58.26815855422739,1200,797
WCS,Cropped,Baseline,58.199999999999996,88.06666666666666,1000,582
WCS,Cropped,Blip,6.4,100.0,1000,64
WCS,Cropped,Clip,56.99999999999999,100.0,1000,570
WCS,Cropped,WildMatch-VLM-Fusion,60.199999999999996,61.094720422031834,1000,602
WCS,Full,Baseline,72.1,87.83333333333333,1000,721
WCS,Full,Blip,2.9000000000000004,100.0,1000,29
WCS,Full,Clip,69.5,100.0,1000,695
WCS,Full,WildMatch-VLM-Fusion,76.4,95.66666666666667,1000,764
